State Name,District Name,Block Name,Panchayat Name,Total Registered HH,Total Registered Persons,SC HH,SC Persons,ST HH,ST Persons,Male Persons,Female Persons
PUNJAB,PATIALA,NABHA,BENERA KALAN,198,236,114,137,0,0,94,142
PUNJAB,PATIALA,NABHA,BENERA KHURD,195,281,154,231,0,0,100,181
PUNJAB,PATIALA,NABHA,BHARI PANENCHA,123,182,94,147,0,0,83,99
PUNJAB,PATIALA,NABHA,BHILLOWAL,58,103,58,103,0,0,55,48
PUNJAB,PATIALA,NABHA,BHOJO MAJRI,150,218,108,166,0,0,94,124
PUNJAB,PATIALA,NABHA,BHORE,274,379,226,316,0,0,182,197
PUNJAB,PATIALA,NABHA,BINA HERI,143,266,108,191,0,0,142,124
PUNJAB,PATIALA,NABHA,BIRDHNO,175,269,147,228,0,0,119,150
PUNJAB,PATIALA,NABHA,BIRDWAL,200,244,112,139,0,0,82,162
PUNJAB,PATIALA,NABHA,BISHAN PURA,45,67,30,45,0,0,35,32
PUNJAB,PATIALA,NABHA,BISHANGARH,74,114,38,62,0,0,49,65
PUNJAB,PATIALA,NABHA,BUGAKHURD,124,205,117,198,0,0,104,101
PUNJAB,PATIALA,NABHA,CHASWAL,199,249,139,180,0,0,112,137
PUNJAB,PATIALA,NABHA,CHATHE,94,119,54,67,0,0,50,69
PUNJAB,PATIALA,NABHA,CHEHAL,220,278,192,244,0,0,72,206
PUNJAB,PATIALA,NABHA,CHHAJUBHATT,123,181,74,119,0,0,101,80
PUNJAB,PATIALA,NABHA,CHHANNA NATHUWALIN,63,86,52,74,0,0,30,56
PUNJAB,PATIALA,NABHA,CHOUDHRI MAJRA,186,260,142,205,0,0,110,150
PUNJAB,PATIALA,NABHA,DAKAUNDA,245,359,163,259,0,0,177,182
PUNJAB,PATIALA,NABHA,DANDRALA DHINDSA,207,368,177,316,0,0,212,156
PUNJAB,PATIALA,NABHA,DARGAPUR,147,201,98,139,0,0,87,114
PUNJAB,PATIALA,NABHA,DHANOURI(G),98,138,74,105,0,0,65,73
PUNJAB,PATIALA,NABHA,DHAROKI,135,195,73,111,0,0,92,103
PUNJAB,PATIALA,NABHA,DHINGHI,226,290,139,191,0,0,127,163
PUNJAB,PATIALA,NABHA,DITTUPUR JATTAN,232,348,195,304,0,0,166,182
PUNJAB,PATIALA,NABHA,DIWANGARH,107,166,77,128,0,0,84,82
PUNJAB,PATIALA,NABHA,DODA,75,94,28,30,0,0,46,48
PUNJAB,PATIALA,NABHA,DULLADI,450,523,332,395,0,0,163,360
PUNJAB,PATIALA,NABHA,FAIZGARH,145,243,102,186,0,0,119,124
PUNJAB,PATIALA,NABHA,FARIDPUR,148,233,121,198,0,0,94,139
PUNJAB,PATIALA,NABHA,FATHEPUR,104,166,88,141,0,0,86,80
PUNJAB,PATIALA,NABHA,GADAYA,255,479,206,391,0,0,235,244
PUNJAB,PATIALA,NABHA,GALWATTI,204,292,128,182,0,0,108,184
PUNJAB,PATIALA,NABHA,GHANIWAL,136,252,91,178,0,0,123,129
PUNJAB,PATIALA,NABHA,GHANURKI,132,192,70,115,0,0,98,94
PUNJAB,PATIALA,NABHA,GHUNDER,135,204,109,163,0,0,80,124
PUNJAB,PATIALA,NABHA,GOBINDGARH CHHANA,66,73,22,23,0,0,36,37
PUNJAB,PATIALA,NABHA,GOBINDPURA,161,202,122,159,0,0,94,108
PUNJAB,PATIALA,NABHA,GUJJER HERI,186,274,183,271,0,0,127,147
PUNJAB,PATIALA,NABHA,GUNIKE,160,244,109,172,0,0,109,135
PUNJAB,PATIALA,NABHA,GURDITPURA,191,309,168,280,0,0,160,149
PUNJAB,PATIALA,NABHA,HAKIMPURA,120,169,104,148,0,0,79,90
PUNJAB,PATIALA,NABHA,HALLA,123,187,101,159,0,0,74,113
PUNJAB,PATIALA,NABHA,HALLOTALI,132,201,97,152,0,0,115,86
PUNJAB,PATIALA,NABHA,HARIGARH,109,122,90,102,0,0,59,63
PUNJAB,PATIALA,NABHA,HASSANPUR,48,67,27,35,0,0,26,41
PUNJAB,PATIALA,NABHA,Himmatpura,94,164,72,119,0,0,82,82
PUNJAB,PATIALA,NABHA,JASSOMAJRA,129,170,70,93,0,0,87,83
PUNJAB,PATIALA,NABHA,JATIWAL,121,187,103,160,0,0,73,114
PUNJAB,PATIALA,NABHA,JHAMBALI KHAS,41,62,10,15,0,0,26,36
PUNJAB,PATIALA,NABHA,JHAMBALI SANI,63,102,50,85,0,0,52,50
PUNJAB,PATIALA,NABHA,JINDALPUR,121,196,75,133,0,0,86,110
PUNJAB,PATIALA,NABHA,kahttra colony,59,72,50,60,0,0,21,51
PUNJAB,PATIALA,NABHA,KAKRALA,385,620,282,456,1,2,289,331
PUNJAB,PATIALA,NABHA,KALAH MAJRA,156,217,84,120,0,0,93,124
