Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
SALANA DULLA SINGH WALA (32847),SALANA DULLA SINGH ( 11200 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
SALANA JIWAN SINGH WALA (32864),SALANA JIWAN SINGHWALA ( 11201 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BIR MOHAMMADI (32869),SALANI ( 11202 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SALANI (32881),SALANI ( 11202 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHAHPUR (32866),SHAH PUR ( 11205 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Shamashpur (32839),SHAMASHPUR ( 11203 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHERGARH (32833),SHER GARH ( 11206 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHERPUR (32815),SHERPUR ( 11207 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHIRAJ MAJRA (32901),SHIRAJ MAJRA ( 11204 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAUNTI (32870),SONTI ( 11208 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TALWARA (32896),TALWARA ( 11284 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANDA BADHA KALAN (32825),TANDA BADHA KALAN ( 11209 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANDA BADHA KHURD (32824),TANDA BADHA KHURD ( 11210 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TANGRALA (32840),TANGRALA ( 11211 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TIBBI (32819),TIBI ( 11212 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TURAN (32882),TURAN ( 11213 ),AMLOH ( 236 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
