Village Name,Panchayat Name,Block Name,District Name,State Name,ODF Declaration Status,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
LALUCHHI (36590),NEW LALUCHHI ( 260799 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAUNI (36564),NEW RAUNI ( 260800 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paharpur (36594),PAHARPUR ( 18872 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PASIANA (36571),PASSIANA ( 19276 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
KALYAN (36524),PURBIAN COLONY ( 244257 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAJGARH (36574),RAJ GARH ( 18392 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Rakhra (36520),RAKHRA ( 18877 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAM NAGAR ALIAS BAKSHIWALA (36645),RAM NAGAR ALIAS BAKSHI WALA ( 19278 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Ramgarh (36554),RAMGARH ( 19279 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ranbirpura (36565),RANBIRPURA ( 18878 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Randhawa (36643),RANDHAWA ( 19280 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Rauni (36564),RAUNI ( 18880 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAUNI (36564),RAUNI JHUGIAN ( 18881 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RAWAS BRAHMANAN (36556),RAWAS BRAHAMANA ( 19282 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sadarpur (36589),SADARPUR ( 18885 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BAZIDPUR (36573),SAINI MAJRA ( 18887 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hashampur (189) (36648),SASSA GUJRAN ( 19287 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SASSA GUJRAN (36646),SASSA GUJRAN ( 19287 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SASI BRAHMANAN (36649),SASSI BRAHAMANA ( 19288 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
SHAHBAZPUR (36572),SAWAJPUR PURANA ( 19289 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHAHBAZPUR (36572),SAWAJPUR(NAWAN) ( 19290 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),This village is NOT declared as ODF-Plus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SHEKHUPURA (36702),SEKHUPURA ( 18890 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SEHNSERWAL (36584),SENSARWAL ( 18889 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Sher Majra (36560),SHER MAJRA ( 19291 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sular (36557),SULAR ( 19292 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Sultanpur (36582),SULTANPUR ( 18896 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TARAURA KALAN (36585),TARORA KALAN ( 18897 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
TARAURA KHURD (36586),TARORA KHURD ( 18898 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0
TARAIN (36634),TRAIN ( 19294 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Tulewal (36636),TULEWAL ( 19295 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCHA GAON (36526),UCHA GAON ( 18899 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BAZIDPUR (36573),WAZIDPUR ( 18901 ),PATIALA ( 327 ),PATIALA ( 41 ),Punjab ( 3 ),,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
