Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
PREMPUR (32956),PREM PURA ( 11341 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAIPUR (32912),RAI PUR ( 11342 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RAIPURRAIAN (32975),Raipur Raiyan ( 11343 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
RAMGARH (32977),RAM GARH ( 11344 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANWAN (32950),RANWAN ( 11345 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RATTANGARH (32971),RATTAN GARH ( 11346 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
RAYA (32938),RAYA ( 11347 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SAIDPURA (32910),SAID PURA ( 11349 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SANDHARIMAJRA (32955),SANDHARI MAJRA ( 11351 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SANGHOL (32930),SANGHOL ( 11352 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Shadipur (32923),SHADIPUR ( 11348 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
SHAMASHPUR (32974),SHAMSHPUR ( 11350 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIDHUPURKALAN (32954),SIDHUPUR KALAN ( 11353 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0
SIDHUPURKHURD (32957),SIDHUPUR KHURD ( 11354 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOHAVI (32919),SOHAVI ( 11355 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
THIKRIWALA (32944),THIKRI WAL ( 11356 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TODARPUR (32922),TODERPUR ( 11357 ),KHAMANO ( 238 ),FATEHGARH SAHIB ( 30 ),Punjab ( 3 ),1,1,1,0,0,0,2,0,0,0,2,1,0,0,0,0,0
