Village Name,Panchayat Name,Block Name,District Name,State Name,Total - Community Compost Pits,Total - Vehicles for collection & transportation of waste,Total - Waste collection and segregation sheds in the village,Total - Segregation Bins at Community places in the village,Total - Community Bio-Gas plants - under other schemes,Total - Compost Pits,Total - BioGas Plants,Total - Feeding to Cattle,Total - Household Bins,Total - Community Soak/Leach/Magic Pits,Total - Drainage facility available in village,Total - Community Grey Water Management Systems,Total - Leach Pits,Total - Magic Pits,Total - Soak Pits,Total - Kitchen Garden,Total - Duckweed Pond
MANJITPURA/CHAMAR MAJRA (38841),MANJITPURA URF CHAMAR MAJRA ( 19483 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Muzafat (38790),MAZAFAT ( 19484 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mehtot (38826),MEHTOT ( 19485 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mohan Majra (38814),MOHAN MAJRA ( 19486 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Muajudinpur (38773),MUAZAJDINPUR ( 19487 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0
MUKARABPUR (38840),MUKARABPUR ( 19488 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mundian (38859),MUNDIAN ( 19489 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,3,0,0,0,2,1,0,0,0,0,0
Fatehgarh Viran (38813),PHASSE ( 19490 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0
PHASSA (38811),PHASSE ( 19490 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
Pipal Majra (38871),PIPPAL MAJRA ( 19491 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Rampur (38815),RAMPUR ( 19493 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0
Rampur Bet (38855),RAMPUR BET ( 19494 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Rashidpur (38821),RASHIDPUR ( 19495 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,2,0,0,0,1,0
Rolu Majra (38875),RAULU MAJRA ( 19496 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,4,0,0,0,3,1,0,0,0,0,0
RAKOLI MANGARH (38827),RUKALI MANGARH ( 19497 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
RURKEE (38870),RURKI HEERAN ( 19498 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
SAIDPUR (38866),SAIDPUR ( 19499 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,1,0,1,0,0,2,1,0,0,0,1,0
Salahpur (38820),SALAHPUR ( 19500 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0
Salempur (38874),SALEM PUR ( 236660 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,1,7,0,0,0,4,0,0,0,0,0,0
Sandhuan (38864),SANDHUAN ( 19504 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0
CHAK LAHORI (38808),SARANGPUR ( 19502 ),CHAMKAUR SAHIB ( 333 ),RUPNAGAR ( 42 ),Punjab ( 3 ),1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
